epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,3.2143,1.64875,0.08,1,1.59237,5.555e-05,5.555e-05,5.555e-05
2,5.99308,1.57876,0.28,1,1.54067,0.000118177,0.000118177,0.000118177
3,8.29231,1.46294,0.36,1,1.46387,0.000176405,0.000176405,0.000176405
4,10.3094,1.36188,0.56,1,1.37446,0.000230233,0.000230233,0.000230233
5,12.4458,1.24807,0.56,1,1.25395,0.000279661,0.000279661,0.000279661
6,14.5894,1.0784,0.64,1,1.10322,0.00032469,0.00032469,0.00032469
7,16.6451,0.96471,0.68,1,0.95696,0.000365319,0.000365319,0.000365319
8,18.7554,0.77436,0.68,1,0.83494,0.000401549,0.000401549,0.000401549
9,20.7596,0.64328,0.72,1,0.69887,0.000433379,0.000433379,0.000433379
10,22.7946,0.53006,0.72,1,0.62748,0.000460809,0.000460809,0.000460809
11,24.9363,0.52961,0.8,1,0.56449,0.000483841,0.000483841,0.000483841
12,26.9086,0.44856,0.8,1,0.48351,0.000502472,0.000502472,0.000502472
13,28.9943,0.29415,0.8,1,0.45292,0.000516704,0.000516704,0.000516704
14,31.0203,0.26965,0.8,1,0.43274,0.000526536,0.000526536,0.000526536
15,33.0462,0.19054,0.8,1,0.41592,0.000531969,0.000531969,0.000531969
16,35.2393,0.20586,0.88,1,0.36835,0.000533002,0.000533002,0.000533002
17,37.2054,0.18173,0.88,1,0.34904,0.000524392,0.000524392,0.000524392
18,39.3492,0.17209,0.92,1,0.311,0.000487729,0.000487729,0.000487729
19,41.3853,0.15343,0.92,1,0.29527,0.000451066,0.000451066,0.000451066
20,43.5015,0.1156,0.92,1,0.27859,0.000414403,0.000414403,0.000414403
21,45.7327,0.12244,0.92,1,0.27881,0.00037774,0.00037774,0.00037774
22,47.8453,0.14447,0.92,1,0.28001,0.000341077,0.000341077,0.000341077
23,49.8871,0.09622,0.88,1,0.28219,0.000304414,0.000304414,0.000304414
24,52.0418,0.07405,0.88,1,0.29121,0.000267751,0.000267751,0.000267751
25,54.0614,0.07676,0.88,1,0.29596,0.000231088,0.000231088,0.000231088
26,56.234,0.07447,0.92,1,0.27392,0.000194425,0.000194425,0.000194425
27,58.1216,0.11679,0.92,1,0.26416,0.000157762,0.000157762,0.000157762
28,60.1588,0.10992,0.92,1,0.27003,0.000121099,0.000121099,0.000121099
29,62.2379,0.07373,0.92,1,0.27799,8.4436e-05,8.4436e-05,8.4436e-05
30,64.5938,0.07947,0.92,1,0.26304,4.7773e-05,4.7773e-05,4.7773e-05
